97369.850 915959.530     280.800 SOFT 1
97373.690 915964.590     280.800 SOFT 2
97377.610 915970.140     280.800 SOFT 2
97382.040 915976.340     280.800 SOFT 2
97386.310 915983.370     280.800 SOFT 2
97390.170 915990.410     280.800 SOFT 2
97392.960 915997.290     280.800 SOFT 2
97393.120 916004.610     280.800 SOFT 2
97390.490 916012.210     280.800 SOFT 2
97386.700 916019.570     280.800 SOFT 2
97383.230 916026.270     280.800 SOFT 2
97381.480 916032.130     280.800 SOFT 2
97381.500 916033.360     280.800 SOFT 4
97416.210 915963.390     278.160 SOFT 1
97424.490 915967.990     278.080 SOFT 2
97431.450 915973.100     277.750 SOFT 2
97436.550 915980.370     277.590 SOFT 2
97439.780 915989.800     277.590 SOFT 2
97442.190 915999.810     277.420 SOFT 2
97445.550 916006.930     277.420 SOFT 2
97448.910 916012.900     277.420 SOFT 2
97449.710 916018.900     277.420 SOFT 2
97449.560 916020.380     277.420 SOFT 4
97287.980 916144.440     293.800 SOFT 1
97294.290 916141.410     293.880 SOFT 2
97300.840 916138.960     293.880 SOFT 2
97308.880 916136.570     293.380 SOFT 2
97318.150 916133.920     292.810 SOFT 2
97328.560 916130.520     292.560 SOFT 2
97338.800 916125.970     292.070 SOFT 2
97347.460 916120.440     290.670 SOFT 2
97355.030 916113.450     289.520 SOFT 2
97362.440 916106.050     288.940 SOFT 2
97369.700 916099.800     287.870 SOFT 2
97376.880 916094.460     286.470 SOFT 2
97385.150 916090.510     285.570 SOFT 2
97395.500 916088.830     285.320 SOFT 2
97407.340 916088.620     285.320 SOFT 2
97418.600 916087.350     285.320 SOFT 2
97428.530 916085.110     285.070 SOFT 2
97435.770 916084.540     284.910 SOFT 2
97437.000 916084.520     284.910 SOFT 2
97436.820 916082.630     284.910 SOFT 4
97284.530 916114.120     288.450 SOFT 1
97292.560 916110.500     288.450 SOFT 2
97299.180 916106.810     288.450 SOFT 2
97306.540 916102.290     288.450 SOFT 2
97314.960 916097.260     288.120 SOFT 2
97324.110 916090.990     287.460 SOFT 2
97328.920 916087.320     287.300 SOFT 2
97333.900 916083.400     287.210 SOFT 2
97338.880 916079.480     287.130 SOFT 2
97343.850 916075.640     286.720 SOFT 2
97348.750 916072.140     286.230 SOFT 2
97358.990 916067.250     285.400 SOFT 2
97369.650 916064.430     284.910 SOFT 2
97379.560 916060.210     284.580 SOFT 2
97388.710 916054.430     283.350 SOFT 2
97397.700 916048.660     282.280 SOFT 2
97407.290 916044.690     281.620 SOFT 2
97417.300 916042.940     281.290 SOFT 2
97427.010 916042.260     281.290 SOFT 2
97435.400 916042.910     281.290 SOFT 2
97442.920 916045.460     281.290 SOFT 2
97450.840 916047.600     281.290 SOFT 2
97458.510 916049.080     281.290 SOFT 2
97465.120 916052.380     281.210 SOFT 2
97470.460 916058.990     280.800 SOFT 2
97473.520 916067.840     280.470 SOFT 2
97473.130 916077.720     280.470 SOFT 2
97470.440 916088.120     280.470 SOFT 2
97467.360 916099.910     280.470 SOFT 2
97465.620 916106.270     280.470 SOFT 2
97463.710 916112.620     280.470 SOFT 2
97461.800 916118.730     280.470 SOFT 2
97457.720 916129.960     280.060 SOFT 2
97455.400 916135.830     280.060 SOFT 2
97453.160 916141.940     280.060 SOFT 2
97451.340 916148.300     280.060 SOFT 2
97449.840 916154.730     279.970 SOFT 2
97448.680 916161.080     279.650 SOFT 2
97447.510 916167.430     279.320 SOFT 2
97446.180 916173.940     279.070 SOFT 2
97444.520 916180.540     278.900 SOFT 2
97442.460 916187.310     278.820 SOFT 2
97439.730 916193.840     278.820 SOFT 2
97436.500 916199.710     278.820 SOFT 2
97432.350 916204.530     278.660 SOFT 2
97422.380 916210.150     277.840 SOFT 2
97411.040 916211.340     277.420 SOFT 2
97399.780 916212.440     277.340 SOFT 2
97388.880 916216.590     277.340 SOFT 2
97382.250 916220.120     277.340 SOFT 2
97376.800 916225.770     277.340 SOFT 2
97371.610 916232.650     277.340 SOFT 2
97367.880 916237.800     277.340 SOFT 2
97363.160 916242.950     277.340 SOFT 2
97356.630 916247.540     277.340 SOFT 2
97348.440 916251.330     277.340 SOFT 2
97339.190 916256.040     277.340 SOFT 2
97329.620 916261.160     277.340 SOFT 2
97320.050 916266.360     277.340 SOFT 2
97310.810 916271.810     277.180 SOFT 2
97302.920 916279.950     277.090 SOFT 2
97297.190 916290.630     277.090 SOFT 2
97295.200 916296.650     277.010 SOFT 2
97294.110 916302.750     276.930 SOFT 2
97294.010 916308.760     276.930 SOFT 2
97294.570 916315.090     276.930 SOFT 2
97295.140 916321.750     276.930 SOFT 2
97295.620 916328.650     276.930 SOFT 2
97296.190 916335.230     276.850 SOFT 2
97296.670 916341.810     276.850 SOFT 2
97296.980 916348.220     276.850 SOFT 2
97297.460 916354.880     276.850 SOFT 2
97298.110 916361.870     276.770 SOFT 2
97299.010 916369.010     276.680 SOFT 2
97300.240 916376.000     276.440 SOFT 2
97301.960 916382.810     276.350 SOFT 2
97304.080 916389.200     276.270 SOFT 2
97306.370 916395.180     276.190 SOFT 2
97311.740 916405.080     276.190 SOFT 2
97319.140 916412.240     276.190 SOFT 2
97326.120 916419.080     276.110 SOFT 2
97330.550 916425.450     275.780 SOFT 2
97334.740 916432.890     275.780 SOFT 2
97340.570 916439.570     275.780 SOFT 2
97348.000 916441.960     275.780 SOFT 2
97354.950 916437.940     275.780 SOFT 2
97361.130 916430.720     275.780 SOFT 2
97367.230 916424.150     275.370 SOFT 2
97374.110 916420.870     274.630 SOFT 2
97382.010 916421.610     274.300 SOFT 2
97390.350 916424.480     274.220 SOFT 2
97397.950 916426.870     273.970 SOFT 2
97404.220 916428.940     273.800 SOFT 2
97408.230 916434.250     273.800 SOFT 4
97444.140 916399.970     268.130 SOFT 1
97435.570 916398.660     268.130 SOFT 2
